방송일시,노출(분),상품명,상품군,판매단가,월,일,시,요일,휴일,프라임,파트,브랜드,분,취급액_로그,결제유형,성별,상품,Mean,Std,goods_Mean,goods_Std
2019-01-01 06:00:00,20.0,테이트 남성 셀린 니트/스웨터 3종,의류,39900,1,1,6,Tuesday,2,4,First,테이트,00,14.55697159880277,해당없음,남성,니트/스웨터,16.16348036806699,0.7790964152375992,15.08941762799553,0.5836415546941258
2019-01-01 06:00:00,20.0,테이트 여성 셀린 니트/스웨터 3종,의류,39900,1,1,6,Tuesday,2,4,First,테이트,00,15.290502373845452,해당없음,여성,니트/스웨터,16.16348036806699,0.7790964152375992,15.6983231055504,0.3826544583393732
2019-01-01 06:20:00,20.0,테이트 남성 셀린 니트/스웨터 3종,의류,39900,1,1,6,Tuesday,2,4,Middle,테이트,20,14.997851062163097,해당없음,남성,니트/스웨터,16.16348036806699,0.7790964152375992,15.08941762799553,0.5836415546941258
2019-01-01 06:20:00,20.0,테이트 여성 셀린 니트/스웨터 3종,의류,39900,1,1,6,Tuesday,2,4,Middle,테이트,20,15.754971383339681,해당없음,여성,니트/스웨터,16.16348036806699,0.7790964152375992,15.6983231055504,0.3826544583393732
2019-01-01 06:40:00,20.0,테이트 남성 셀린 니트/스웨터 3종,의류,39900,1,1,6,Tuesday,2,4,Later,테이트,40,15.713430223020719,해당없음,남성,니트/스웨터,16.16348036806699,0.7790964152375992,15.08941762799553,0.5836415546941258
2019-01-01 06:40:00,20.0,테이트 여성 셀린 니트/스웨터 3종,의류,39900,1,1,6,Tuesday,2,4,Later,테이트,40,16.049495559466063,해당없음,여성,니트/스웨터,16.16348036806699,0.7790964152375992,15.6983231055504,0.3826544583393732
2019-01-01 08:00:00,20.0,CERINI by PAT 남성 소프트 기모 릴렉스 바지,의류,59900,1,1,8,Tuesday,2,3,First,CERINI by PAT,00,16.59637742164828,해당없음,남성,바지,16.758375341828067,0.6206638710252497,17.203697860263663,0.5999411963584347
2019-01-01 08:20:00,20.0,CERINI by PAT 남성 소프트 기모 릴렉스 바지,의류,59900,1,1,8,Tuesday,2,3,Middle,CERINI by PAT,20,17.21873920853551,해당없음,남성,바지,16.758375341828067,0.6206638710252497,17.203697860263663,0.5999411963584347
2019-01-01 08:40:00,20.0,CERINI by PAT 남성 소프트 기모 릴렉스 바지,의류,59900,1,1,8,Tuesday,2,3,Later,CERINI by PAT,40,17.7959769506072,해당없음,남성,바지,16.758375341828067,0.6206638710252497,17.203697860263663,0.5999411963584347
2019-01-01 09:00:00,20.0,보코 리버시블 코트,의류,79000,1,1,9,Tuesday,2,1,First,보코,00,16.59277582808796,해당없음,해당없음,코트,17.01065262947373,0.5393816501192916,17.040987484619365,0.4319554182514304
2019-01-01 09:20:00,20.0,보코 리버시블 코트,의류,79000,1,1,9,Tuesday,2,1,Middle,보코,20,17.059196061741048,해당없음,해당없음,코트,17.01065262947373,0.5393816501192916,17.040987484619365,0.4319554182514304
2019-01-01 09:40:00,20.0,보코 리버시블 코트,의류,79000,1,1,9,Tuesday,2,1,Later,보코,40,17.712825934520147,해당없음,해당없음,코트,17.01065262947373,0.5393816501192916,17.040987484619365,0.4319554182514304
2019-01-01 10:00:00,20.0,CERINI by PAT 남성 풀패키지 기모 니트/스웨터 3종,의류,79900,1,1,10,Tuesday,2,2,First,CERINI by PAT,00,17.703220378810137,해당없음,남성,니트/스웨터,17.056623866996393,0.7508322509625585,17.258883982175817,1.1050609803621405
2019-01-01 10:20:00,20.0,CERINI by PAT 남성 풀패키지 기모 니트/스웨터 3종,의류,79900,1,1,10,Tuesday,2,2,Middle,CERINI by PAT,20,18.399528606476803,해당없음,남성,니트/스웨터,17.056623866996393,0.7508322509625585,17.258883982175817,1.1050609803621405
2019-01-01 10:40:00,20.0,CERINI by PAT 남성 풀패키지 기모 니트/스웨터 3종,의류,79900,1,1,10,Tuesday,2,2,Later,CERINI by PAT,40,18.542650558361572,해당없음,남성,니트/스웨터,17.056623866996393,0.7508322509625585,17.258883982175817,1.1050609803621405
2019-01-01 14:00:00,30.0,그렉노먼 남성 점퍼 롱 점퍼,의류,119000,1,1,14,Tuesday,2,2,First,그렉노먼,00,16.237566150934487,해당없음,남성,점퍼,16.765417644140424,0.6641320130500102,16.877510226170948,0.9050175903597145
2019-01-01 14:00:00,30.0,그렉노먼 여성 점퍼 롱 점퍼,의류,119000,1,1,14,Tuesday,2,2,First,그렉노먼,00,16.852432758343127,해당없음,여성,점퍼,16.765417644140424,0.6641320130500102,17.262163376932435,0.5794465977285164
2019-01-01 14:30:00,30.0,그렉노먼 남성 점퍼 롱 점퍼,의류,119000,1,1,14,Tuesday,2,2,Later,그렉노먼,30,17.517454301407412,해당없음,남성,점퍼,16.765417644140424,0.6641320130500102,16.877510226170948,0.9050175903597145
2019-01-01 14:30:00,30.0,그렉노먼 여성 점퍼 롱 점퍼,의류,119000,1,1,14,Tuesday,2,2,Later,그렉노먼,30,17.671893995521742,해당없음,여성,점퍼,16.765417644140424,0.6641320130500102,17.262163376932435,0.5794465977285164
2019-01-01 21:00:00,20.0,마리노블 코트 롱 코트,의류,499000,1,1,21,Tuesday,2,4,First,마리노블,00,16.61047213105578,해당없음,해당없음,코트,17.392617800462077,0.7123514554136071,17.662984281377494,0.6090114007991695
2019-01-01 21:20:00,20.0,마리노블 코트 롱 코트,의류,499000,1,1,21,Tuesday,2,4,Middle,마리노블,20,17.800616724892755,해당없음,해당없음,코트,17.392617800462077,0.7123514554136071,17.662984281377494,0.6090114007991695
2019-01-01 21:40:00,20.0,마리노블 코트 롱 코트,의류,499000,1,1,21,Tuesday,2,4,Later,마리노블,40,18.2529955510914,해당없음,해당없음,코트,17.392617800462077,0.7123514554136071,17.662984281377494,0.6090114007991695
2019-01-01 22:00:00,30.0,헤스티지 엘레나 라쿤양가죽 콤비 롱 코트,의류,299000,1,1,22,Tuesday,2,4,First,헤스티지,00,17.454858323047162,해당없음,해당없음,코트,17.14345953971843,0.8182165656094303,17.50043780876962,0.606537354877811
2019-01-01 22:30:00,30.0,헤스티지 엘레나 라쿤양가죽 콤비 롱 코트,의류,299000,1,1,22,Tuesday,2,4,Later,헤스티지,30,18.169189157122666,해당없음,해당없음,코트,17.14345953971843,0.8182165656094303,17.50043780876962,0.606537354877811
2019-01-02 00:00:00,20.0,그렉노먼 남성 캐시터치 니트/스웨터 4종,의류,69900,1,2,0,Wednesday,0,4,First,그렉노먼,00,15.620844147219447,해당없음,남성,니트/스웨터,16.295629361289944,1.0840152234264862,16.600161747584263,0.6212165963943398
2019-01-02 00:00:00,20.0,그렉노먼 여성 캐시터치 니트/스웨터 4종,의류,69900,1,2,0,Wednesday,0,4,First,그렉노먼,00,15.678815194355424,해당없음,여성,니트/스웨터,16.295629361289944,1.0840152234264862,15.937852517920264,0.2511199734522612
2019-01-02 00:20:00,20.0,그렉노먼 남성 캐시터치 니트/스웨터 4종,의류,69900,1,2,0,Wednesday,0,4,Middle,그렉노먼,20,16.299166425850622,해당없음,남성,니트/스웨터,16.295629361289944,1.0840152234264862,16.600161747584263,0.6212165963943398
2019-01-02 00:20:00,20.0,그렉노먼 여성 캐시터치 니트/스웨터 4종,의류,69900,1,2,0,Wednesday,0,4,Middle,그렉노먼,20,15.9545173369815,해당없음,여성,니트/스웨터,16.295629361289944,1.0840152234264862,15.937852517920264,0.2511199734522612
2019-01-02 00:40:00,20.0,그렉노먼 남성 캐시터치 니트/스웨터 4종,의류,69900,1,2,0,Wednesday,0,4,Later,그렉노먼,40,16.616504504709223,해당없음,남성,니트/스웨터,16.295629361289944,1.0840152234264862,16.600161747584263,0.6212165963943398
2019-01-02 00:40:00,20.0,그렉노먼 여성 캐시터치 니트/스웨터 4종,의류,69900,1,2,0,Wednesday,0,4,Later,그렉노먼,40,16.18022502242387,해당없음,여성,니트/스웨터,16.295629361289944,1.0840152234264862,15.937852517920264,0.2511199734522612
2019-01-02 09:00:00,20.0,NNF 쿠션퍼 재킷 +베스트,의류,39900,1,2,9,Wednesday,0,1,First,NNF,00,16.349762773213406,해당없음,해당없음,재킷,16.50250369049747,1.0968159485782776,17.218729932123093,0.5202754004022234
2019-01-02 09:20:00,20.0,NNF 쿠션퍼 재킷 +베스트,의류,39900,1,2,9,Wednesday,0,1,Middle,NNF,20,16.952829195580136,해당없음,해당없음,재킷,16.50250369049747,1.0968159485782776,17.218729932123093,0.5202754004022234
2019-01-02 09:40:00,20.0,NNF 쿠션퍼 재킷 +베스트,의류,39900,1,2,9,Wednesday,0,1,Later,NNF,40,17.464843245775377,해당없음,해당없음,재킷,16.50250369049747,1.0968159485782776,17.218729932123093,0.5202754004022234
2019-01-02 11:00:00,30.0,헤스티지 엘레나 라쿤양가죽 콤비 롱 코트,의류,299000,1,2,11,Wednesday,0,2,First,헤스티지,00,17.20877656930015,해당없음,해당없음,코트,16.82643436647659,0.7887099871540488,17.185300597946334,0.6066912003185194
2019-01-02 11:30:00,30.0,헤스티지 엘레나 라쿤양가죽 콤비 롱 코트,의류,299000,1,2,11,Wednesday,0,2,Later,헤스티지,30,18.01108712526042,해당없음,해당없음,코트,16.82643436647659,0.7887099871540488,17.185300597946334,0.6066912003185194
2019-01-03 00:00:00,20.0,테이트 남성 셀린 니트/스웨터 3종,의류,39900,1,3,0,Thursday,0,4,First,테이트,00,15.807349638907986,해당없음,남성,니트/스웨터,16.445535705058433,0.7010905302007762,16.153330753883534,0.3416133000951763
2019-01-03 00:00:00,20.0,테이트 여성 셀린 니트/스웨터 3종,의류,39900,1,3,0,Thursday,0,4,First,테이트,00,16.30457521790094,해당없음,여성,니트/스웨터,16.445535705058433,0.7010905302007762,16.167771227408565,0.5348211448003392
2019-01-03 00:20:00,20.0,테이트 남성 셀린 니트/스웨터 3종,의류,39900,1,3,0,Thursday,0,4,Later,테이트,20,16.165074652152313,해당없음,남성,니트/스웨터,16.445535705058433,0.7010905302007762,16.153330753883534,0.3416133000951763
2019-01-03 00:20:00,20.0,테이트 여성 셀린 니트/스웨터 3종,의류,39900,1,3,0,Thursday,0,4,Later,테이트,20,16.929914361235763,해당없음,여성,니트/스웨터,16.445535705058433,0.7010905302007762,16.167771227408565,0.5348211448003392
2019-01-03 11:00:00,20.0,보코 리버시블 코트,의류,79000,1,3,11,Thursday,0,2,First,보코,00,16.635996188396273,해당없음,해당없음,코트,16.783228932217472,0.574053277019572,17.309501584596745,0.44631738779791474
2019-01-03 11:20:00,20.0,보코 리버시블 코트,의류,79000,1,3,11,Thursday,0,2,Middle,보코,20,17.293391164397388,해당없음,해당없음,코트,16.783228932217472,0.574053277019572,17.309501584596745,0.44631738779791474
2019-01-03 11:40:00,20.0,보코 리버시블 코트,의류,79000,1,3,11,Thursday,0,2,Later,보코,40,17.38822129770378,해당없음,해당없음,코트,16.783228932217472,0.574053277019572,17.309501584596745,0.44631738779791474
2019-01-03 23:00:00,20.0,그렉노먼 남성 캐시터치 니트/스웨터 4종,의류,69900,1,3,23,Thursday,0,4,First,그렉노먼,00,15.750648610037675,해당없음,남성,니트/스웨터,16.75694739916681,0.5534075192446969,16.317393654876806,0.5153054062278387
2019-01-03 23:00:00,20.0,그렉노먼 여성 캐시터치 니트/스웨터 4종,의류,69900,1,3,23,Thursday,0,4,First,그렉노먼,00,16.52615738491375,해당없음,여성,니트/스웨터,16.75694739916681,0.5534075192446969,16.39987585148998,0.11022292509490618
2019-01-03 23:20:00,20.0,그렉노먼 남성 캐시터치 니트/스웨터 4종,의류,69900,1,3,23,Thursday,0,4,Middle,그렉노먼,20,16.443795790597623,해당없음,남성,니트/스웨터,16.75694739916681,0.5534075192446969,16.317393654876806,0.5153054062278387
2019-01-03 23:20:00,20.0,그렉노먼 여성 캐시터치 니트/스웨터 4종,의류,69900,1,3,23,Thursday,0,4,Middle,그렉노먼,20,16.32299376193118,해당없음,여성,니트/스웨터,16.75694739916681,0.5534075192446969,16.39987585148998,0.11022292509490618
2019-01-03 23:40:00,20.0,그렉노먼 남성 캐시터치 니트/스웨터 4종,의류,69900,1,3,23,Thursday,0,4,Later,그렉노먼,40,16.757736563995124,해당없음,남성,니트/스웨터,16.75694739916681,0.5534075192446969,16.317393654876806,0.5153054062278387
2019-01-03 23:40:00,20.0,그렉노먼 여성 캐시터치 니트/스웨터 4종,의류,69900,1,3,23,Thursday,0,4,Later,그렉노먼,40,16.35047640762501,해당없음,여성,니트/스웨터,16.75694739916681,0.5534075192446969,16.39987585148998,0.11022292509490618
2019-01-04 00:00:00,20.0,마리노블 코트 롱 코트,의류,499000,1,4,0,Friday,0,4,First,마리노블,00,16.25890052754934,해당없음,해당없음,코트,16.342752123741985,0.7366456865201683,16.70856680968464,0.4258980411566492
2019-01-04 00:20:00,20.0,마리노블 코트 롱 코트,의류,499000,1,4,0,Friday,0,4,Middle,마리노블,20,16.7609490374638,해당없음,해당없음,코트,16.342752123741985,0.7366456865201683,16.70856680968464,0.4258980411566492
2019-01-04 00:40:00,20.0,마리노블 코트 롱 코트,의류,499000,1,4,0,Friday,0,4,Later,마리노블,40,17.10585086404078,해당없음,해당없음,코트,16.342752123741985,0.7366456865201683,16.70856680968464,0.4258980411566492
